currency,issue_date,doc_number,booking_class,fare_flag,fee_local,service_type,doc_type_ref,doc_type,service_date,origin,destination,flight_no,trans_code,doc_category,base_fare_usd,fee_usd,equipment_type
CCY-2,2025-12-15,9979348329480,Class 8,N,113.05,Service Type 2,Doc Type A,A,2025-12-13,KEE,GNP,FN-395,TYPE-A,DOC,9.06,3.23,Equip-1
CCY-1,2025-12-04,7754750316815,Class 8,Y,117.25,Service Type 4,Doc Type A,A,2025-12-14,ZYR,PVS,FN-118,TYPE-A,DOC,6.33,3.35,Equip-3
CCY-4,2025-12-18,0120039081970,Class 5,N,142.1,Service Type 4,Doc Type A,A,2025-12-11,RZP,SUQ,FN-508,TYPE-C,DOC,7.52,4.06,Equip-2
CCY-1,2025-12-18,8885037219304,Class 2,Y,74.9,Service Type 5,Doc Type A,A,2025-12-21,SZV,TDX,FN-118,TYPE-B,DOC,23.69,2.14,Equip-3
CCY-1,2025-12-23,4620873843221,Class 6,N,79.45,Service Type 2,Doc Type A,A,2025-12-26,KUV,UBR,FN-118,TYPE-B,DOC,14.67,2.27,Equip-3
CCY-4,2025-12-28,8252381547432,Class 6,N,60.55,Service Type 4,Doc Type A,A,2025-12-12,KHV,LNR,FN-132,TYPE-B,DOC,17.2,1.73,Equip-3
CCY-1,2025-12-14,5413907443297,Class 3,Y,74.55,Service Type 2,Doc Type A,A,2025-12-29,JYN,PVS,FN-117,TYPE-B,DOC,14.4,2.13,Equip-1
CCY-2,2025-12-22,7032288897026,Class 1,Y,68.95,Service Type 3,Doc Type A,A,2025-12-05,KUV,QFX,FN-101,TYPE-D,DOC,10.97,1.97,Equip-1
CCY-3,2025-12-04,0697775323863,Class 8,N,75.6,Service Type 2,Doc Type A,A,2025-12-30,KEE,KUV,FN-133,TYPE-C,DOC,16.11,2.16,Equip-1
CCY-3,2025-12-23,7228043691742,Class 4,Y,93.1,Service Type 5,Doc Type A,A,2025-12-14,YML,ZYR,FN-508,TYPE-A,DOC,14.76,2.66,Equip-3
CCY-1,2025-12-19,8174552753700,Class 5,Y,110.25,Service Type 1,Doc Type A,A,2025-12-06,KSN,GNP,FN-119,TYPE-B,DOC,11.43,3.15,Equip-2
CCY-4,2025-12-10,1169277038931,Class 4,N,112.35,Service Type 3,Doc Type A,A,2025-12-19,KUV,JKS,FN-101,TYPE-B,DOC,8.19,3.21,Equip-2
CCY-4,2025-12-03,6889729319010,Class 2,N,77.7,Service Type 3,Doc Type A,A,2025-12-09,KHV,NAB,FN-101,TYPE-C,DOC,19.65,2.22,Equip-2
CCY-3,2025-12-17,7038171747490,Class 8,Y,157.5,Service Type 2,Doc Type A,A,2025-12-05,KUV,UMK,FN-395,TYPE-C,DOC,17.86,4.5,Equip-1
CCY-2,2025-12-13,2305762072669,Class 4,Y,53.9,Service Type 5,Doc Type A,A,2025-12-23,JYN,LNR,FN-132,TYPE-C,DOC,7.92,1.54,Equip-1
CCY-1,2025-12-31,8625395639487,Class 5,Y,85.75,Service Type 2,Doc Type A,A,2025-12-09,KHV,TPX,FN-119,TYPE-C,DOC,13.51,2.45,Equip-3
CCY-2,2025-12-26,4269263444830,Class 5,Y,106.05,Service Type 1,Doc Type A,A,2025-12-28,FUG,MBT,FN-132,TYPE-C,DOC,21.34,3.03,Equip-2
CCY-4,2025-12-01,1937728675668,Class 1,N,64.75,Service Type 2,Doc Type A,A,2025-12-10,TPX,SZV,FN-132,TYPE-D,DOC,7.99,1.85,Equip-1
CCY-1,2025-12-15,8065502647223,Class 2,N,85.05,Service Type 4,Doc Type A,A,2025-12-22,KEE,ZYR,FN-118,TYPE-B,DOC,17.45,2.43,Equip-1
CCY-4,2025-12-13,5796675813434,Class 5,N,138.6,Service Type 4,Doc Type A,A,2025-12-27,QFX,KEE,FN-133,TYPE-B,DOC,12.22,3.96,Equip-1
CCY-4,2025-12-14,3786120459776,Class 8,N,103.25,Service Type 1,Doc Type A,A,2025-12-09,KLC,KHV,FN-508,TYPE-C,DOC,9.58,2.95,Equip-1
CCY-2,2025-12-12,1911556529278,Class 2,Y,128.8,Service Type 4,Doc Type A,A,2025-12-05,KLC,MFP,FN-118,TYPE-A,DOC,11.92,3.68,Equip-3
CCY-4,2025-12-16,9338395027862,Class 7,Y,97.3,Service Type 1,Doc Type A,A,2025-12-09,UMK,UBR,FN-105,TYPE-B,DOC,14.95,2.78,Equip-2
CCY-2,2025-12-23,9785141201190,Class 7,N,92.05,Service Type 4,Doc Type A,A,2025-12-08,SUQ,FUG,FN-133,TYPE-C,DOC,12.32,2.63,Equip-1
CCY-4,2025-12-30,4761155849738,Class 5,Y,114.1,Service Type 1,Doc Type A,A,2025-12-17,HGV,JYN,FN-105,TYPE-A,DOC,4.61,3.26,Equip-1
CCY-2,2025-12-03,2407667861986,Class 7,N,74.2,Service Type 3,Doc Type A,A,2025-12-07,PVS,SZV,FN-119,TYPE-B,DOC,21.46,2.12,Equip-2
CCY-1,2025-12-02,7476031077735,Class 4,Y,74.55,Service Type 5,Doc Type A,A,2025-12-14,JYN,DRW,FN-118,TYPE-A,DOC,8.13,2.13,Equip-2
CCY-2,2025-12-16,5798802720993,Class 6,Y,120.75,Service Type 3,Doc Type A,A,2025-12-03,TDX,KSN,FN-117,TYPE-A,DOC,15.62,3.45,Equip-3
CCY-3,2025-12-11,4670047587012,Class 9,Y,72.8,Service Type 5,Doc Type A,A,2025-12-15,GNP,ZYR,FN-101,TYPE-B,DOC,11.21,2.08,Equip-2
CCY-2,2025-12-18,6101083015352,Class 8,Y,50.4,Service Type 1,Doc Type A,A,2025-12-26,YML,KLC,FN-132,TYPE-D,DOC,12.46,1.44,Equip-1
CCY-4,2025-12-07,8419628419447,Class 5,N,135.45,Service Type 5,Doc Type A,A,2025-12-01,GNP,VQR,FN-132,TYPE-D,DOC,12.72,3.87,Equip-3
CCY-2,2025-12-22,1839576853893,Class 4,N,51.45,Service Type 4,Doc Type A,A,2025-12-05,JKS,JYN,FN-118,TYPE-A,DOC,5.74,1.47,Equip-3
CCY-4,2025-12-29,8631892786985,Class 7,N,83.65,Service Type 5,Doc Type A,A,2025-12-13,PVS,KSN,FN-394,TYPE-B,DOC,19.9,2.39,Equip-2
CCY-3,2025-12-13,8808596652163,Class 5,N,99.75,Service Type 5,Doc Type A,A,2025-12-27,KHV,RZP,FN-133,TYPE-C,DOC,17.68,2.85,Equip-3
CCY-1,2025-12-11,1184264102205,Class 9,Y,120.4,Service Type 3,Doc Type A,A,2025-12-19,KEE,YML,FN-132,TYPE-D,DOC,11.19,3.44,Equip-3
CCY-2,2025-12-12,2627382760670,Class 7,Y,109.55,Service Type 3,Doc Type A,A,2025-12-01,GNP,KEE,FN-508,TYPE-A,DOC,7.58,3.13,Equip-3
CCY-2,2025-12-28,6119809560699,Class 4,Y,58.8,Service Type 2,Doc Type A,A,2025-12-05,LNR,SUQ,FN-119,TYPE-D,DOC,10.09,1.68,Equip-2
