currency,issue_date,doc_number,booking_class,fare_flag,fee_local,service_type,doc_type_ref,doc_type,service_date,origin,destination,flight_no,trans_code,doc_category,base_fare_usd,fee_usd,equipment_type
CCY-3,2025-12-29,9708340626295,Class 4,N,82.95,Service Type 3,Doc Type S,S,2025-12-10,DRW,TPX,FN-105,TYPE-C,DOC,6.43,2.37,Equip-3
CCY-4,2025-12-15,4599418836808,Class 9,Y,85.75,Service Type 5,Doc Type S,S,2025-12-25,SZV,LNR,FN-119,TYPE-B,DOC,7.29,2.45,Equip-1
CCY-4,2025-12-10,4817552539125,Class 6,Y,134.4,Service Type 3,Doc Type S,S,2025-12-01,ZYR,RZP,FN-101,TYPE-B,DOC,10.93,3.84,Equip-1
CCY-4,2025-12-30,3760278703321,Class 6,Y,49.35,Service Type 4,Doc Type S,S,2025-12-07,VQR,MBT,FN-101,TYPE-B,DOC,10.39,1.41,Equip-3
CCY-2,2025-12-17,5867436048988,Class 4,Y,75.6,Service Type 4,Doc Type S,S,2025-12-05,SZV,RZP,FN-395,TYPE-A,DOC,17.7,2.16,Equip-2
CCY-1,2025-12-14,0947188806951,Class 4,Y,120.75,Service Type 5,Doc Type S,S,2025-12-04,SUQ,NAB,FN-118,TYPE-B,DOC,11.71,3.45,Equip-3
CCY-2,2025-12-25,0746863864610,Class 8,Y,143.15,Service Type 2,Doc Type S,S,2025-12-15,UBR,ZYR,FN-394,TYPE-C,DOC,13.0,4.09,Equip-3
CCY-4,2025-12-11,5898823916270,Class 5,Y,74.9,Service Type 3,Doc Type S,S,2025-12-31,YML,LNR,FN-105,TYPE-C,DOC,14.4,2.14,Equip-2
CCY-2,2025-12-08,3831672900372,Class 5,N,111.65,Service Type 1,Doc Type S,S,2025-12-24,SZV,QFX,FN-508,TYPE-C,DOC,22.89,3.19,Equip-1
CCY-3,2025-12-03,3074552900359,Class 3,Y,138.6,Service Type 3,Doc Type S,S,2025-12-30,SUQ,RZP,FN-394,TYPE-A,DOC,11.26,3.96,Equip-3
CCY-2,2025-12-27,2630307837164,Class 3,N,119.0,Service Type 4,Doc Type S,S,2025-12-04,DRW,MBT,FN-117,TYPE-C,DOC,13.25,3.4,Equip-3
CCY-1,2025-12-28,2331603089925,Class 7,Y,95.2,Service Type 1,Doc Type S,S,2025-12-03,MFP,LNR,FN-118,TYPE-A,DOC,24.46,2.72,Equip-1
CCY-3,2025-12-07,0804027617781,Class 3,Y,109.2,Service Type 2,Doc Type S,S,2025-12-05,SUQ,YML,FN-119,TYPE-C,DOC,10.41,3.12,Equip-2
CCY-2,2025-12-25,3177816214276,Class 6,N,52.15,Service Type 3,Doc Type S,S,2025-12-15,UMK,QFX,FN-101,TYPE-D,DOC,17.36,1.49,Equip-2
CCY-3,2025-12-29,1635021421061,Class 2,N,84.35,Service Type 1,Doc Type S,S,2025-12-02,QFX,KSN,FN-133,TYPE-C,DOC,2.17,2.41,Equip-2
CCY-2,2025-12-01,0941244516194,Class 7,N,90.3,Service Type 2,Doc Type S,S,2025-12-26,NAB,GNP,FN-394,TYPE-A,DOC,3.83,2.58,Equip-3
CCY-4,2025-12-20,8323236770989,Class 6,Y,73.85,Service Type 3,Doc Type S,S,2025-12-05,QFX,DRW,FN-132,TYPE-A,DOC,14.51,2.11,Equip-2
CCY-2,2025-12-26,5881215552489,Class 4,Y,107.45,Service Type 5,Doc Type S,S,2025-12-16,FUG,YML,FN-105,TYPE-B,DOC,4.87,3.07,Equip-1
CCY-4,2025-12-03,8804112126109,Class 1,N,45.85,Service Type 1,Doc Type S,S,2025-12-02,KUV,YML,FN-117,TYPE-D,DOC,16.31,1.31,Equip-2
CCY-4,2025-12-15,8034931639348,Class 4,N,133.7,Service Type 3,Doc Type S,S,2025-12-15,UMK,UBR,FN-118,TYPE-A,DOC,16.1,3.82,Equip-3
CCY-3,2025-12-29,7177155648964,Class 4,Y,147.7,Service Type 2,Doc Type S,S,2025-12-23,NAB,ZYR,FN-118,TYPE-D,DOC,16.77,4.22,Equip-3
