currency,issue_date,doc_number,booking_class,fare_flag,fee_local,service_type,doc_type_ref,doc_type,service_date,origin,destination,flight_no,trans_code,doc_category,base_fare_usd,fee_usd,equipment_type
CCY-2,2025-12-09,3822442951538,Class 5,Y,81.2,No-Show Fee,Doc Type A,A,2025-12-02,YML,TDX,FN-117,TYPE-C,DOC,0.02,2.32,Equip-1
CCY-3,2025-12-06,6066543113096,Class 4,N,39.55,No-Show Fee,Doc Type A,A,2025-12-16,RZP,LNR,FN-118,TYPE-A,DOC,9.6,1.13,Equip-3
CCY-1,2025-12-20,4228522043300,Class 7,Y,35.7,No-Show Fee,Doc Type A,A,2025-12-08,TPX,SZV,FN-101,TYPE-C,DOC,6.21,1.02,Equip-1
CCY-2,2025-12-31,7734573465267,Class 5,Y,133.7,No-Show Fee,Doc Type A,A,2025-12-30,UMK,ZYR,FN-132,TYPE-A,DOC,11.81,3.82,Equip-3
CCY-4,2025-12-15,3766062593772,Class 5,N,119.35,No-Show Fee,Doc Type A,A,2025-12-15,RZP,YML,FN-118,TYPE-C,DOC,17.53,3.41,Equip-1
CCY-3,2025-12-07,9660860489940,Class 2,N,37.45,No-Show Fee,Doc Type A,A,2025-12-03,DPQ,MFP,FN-118,TYPE-D,DOC,7.18,1.07,Equip-3
CCY-4,2025-12-18,9456189134931,Class 7,N,60.55,No-Show Fee,Doc Type A,A,2025-12-12,ZYR,DRW,FN-132,TYPE-A,DOC,3.22,1.73,Equip-3
CCY-1,2025-12-30,0938882956379,Class 8,Y,99.4,No-Show Fee,Doc Type A,A,2025-12-24,DRW,KUV,FN-133,TYPE-D,DOC,7.56,2.84,Equip-3
CCY-1,2025-12-30,1962231421125,Class 4,N,116.9,No-Show Fee,Doc Type A,A,2025-12-29,MBT,HGV,FN-101,TYPE-C,DOC,6.93,3.34,Equip-2
CCY-3,2025-12-01,7211125966795,Class 7,Y,105.35,No-Show Fee,Doc Type A,A,2025-12-04,UMK,TPX,FN-119,TYPE-B,DOC,10.84,3.01,Equip-3
CCY-1,2025-12-03,9363395975778,Class 8,N,63.7,No-Show Fee,Doc Type A,A,2025-12-23,PVS,JYN,FN-133,TYPE-A,DOC,17.7,1.82,Equip-1
CCY-4,2025-12-12,1492410096900,Class 5,Y,104.65,No-Show Fee,Doc Type A,A,2025-12-17,ZYR,DPQ,FN-105,TYPE-B,DOC,14.09,2.99,Equip-2
CCY-2,2025-12-02,6661020117451,Class 9,Y,136.15,No-Show Fee,Doc Type A,A,2025-12-09,UBR,SZV,FN-394,TYPE-D,DOC,10.33,3.89,Equip-1
CCY-1,2025-12-03,0600308597370,Class 7,Y,71.75,No-Show Fee,Doc Type A,A,2025-12-06,KSN,FUG,FN-118,TYPE-C,DOC,16.4,2.05,Equip-2
CCY-3,2025-12-30,1322266509801,Class 8,Y,114.8,No-Show Fee,Doc Type A,A,2025-12-27,PVS,YML,FN-132,TYPE-D,DOC,11.09,3.28,Equip-3
CCY-1,2025-12-09,5788471435120,Class 1,N,125.65,No-Show Fee,Doc Type A,A,2025-12-28,SUQ,TDX,FN-132,TYPE-A,DOC,10.63,3.59,Equip-2
CCY-3,2025-12-08,6568586974430,Class 3,N,169.05,No-Show Fee,Doc Type A,A,2025-12-17,GNP,JKS,FN-508,TYPE-A,DOC,13.41,4.83,Equip-1
CCY-3,2025-12-11,6185120540483,Class 5,N,100.8,No-Show Fee,Doc Type A,A,2025-12-21,ZYR,SUQ,FN-394,TYPE-D,DOC,4.35,2.88,Equip-3
CCY-3,2025-12-03,3214607781843,Class 4,N,126.0,No-Show Fee,Doc Type A,A,2025-12-27,QFX,NAB,FN-394,TYPE-C,DOC,7.46,3.6,Equip-2
CCY-3,2025-12-01,5476744531386,Class 8,Y,117.25,No-Show Fee,Doc Type A,A,2025-12-07,UBR,SZV,FN-133,TYPE-B,DOC,3.91,3.35,Equip-3
CCY-3,2025-12-24,2374051717573,Class 3,Y,79.45,No-Show Fee,Doc Type A,A,2025-12-18,LNR,SUQ,FN-119,TYPE-D,DOC,8.85,2.27,Equip-1
CCY-1,2025-12-10,2002873403627,Class 6,N,88.55,No-Show Fee,Doc Type A,A,2025-12-05,DRW,GNP,FN-508,TYPE-C,DOC,4.77,2.53,Equip-1
CCY-3,2025-12-05,9326745208260,Class 8,N,103.95,No-Show Fee,Doc Type A,A,2025-12-20,QFX,SUQ,FN-395,TYPE-A,DOC,17.42,2.97,Equip-2
CCY-2,2025-12-03,1601240360360,Class 9,Y,163.1,No-Show Fee,Doc Type A,A,2025-12-16,KUV,TPX,FN-395,TYPE-A,DOC,15.14,4.66,Equip-2
CCY-4,2025-12-23,5849875528109,Class 4,Y,85.4,No-Show Fee,Doc Type A,A,2025-12-20,MFP,KHV,FN-508,TYPE-B,DOC,13.32,2.44,Equip-3
CCY-2,2025-12-12,5231335862685,Class 1,Y,86.1,No-Show Fee,Doc Type A,A,2025-12-27,MBT,KLC,FN-395,TYPE-C,DOC,14.34,2.46,Equip-3
CCY-3,2025-12-09,8601016329000,Class 5,Y,51.8,No-Show Fee,Doc Type A,A,2025-12-04,KUV,KEE,FN-508,TYPE-B,DOC,9.48,1.48,Equip-3
CCY-1,2025-12-16,3312566142062,Class 2,N,91.35,No-Show Fee,Doc Type A,A,2025-12-25,KLC,KHV,FN-101,TYPE-B,DOC,16.63,2.61,Equip-2
CCY-2,2025-12-28,4217115223128,Class 5,Y,68.6,No-Show Fee,Doc Type A,A,2025-12-26,MBT,HGV,FN-132,TYPE-B,DOC,12.91,1.96,Equip-2
CCY-3,2025-12-24,5925324254759,Class 6,N,78.4,No-Show Fee,Doc Type A,A,2025-12-13,LNR,KLC,FN-117,TYPE-C,DOC,14.18,2.24,Equip-3
CCY-4,2025-12-22,1875288281702,Class 7,Y,135.8,No-Show Fee,Doc Type A,A,2025-12-09,JKS,RZP,FN-132,TYPE-C,DOC,11.29,3.88,Equip-1
CCY-2,2025-12-03,6720838884610,Class 9,N,104.3,No-Show Fee,Doc Type A,A,2025-12-06,QFX,TDX,FN-117,TYPE-D,DOC,15.95,2.98,Equip-3
CCY-1,2025-12-20,4066942505562,Class 8,N,209.65,No-Show Fee,Doc Type A,A,2025-12-12,DPQ,NAB,FN-508,TYPE-B,DOC,3.16,5.99,Equip-1
CCY-1,2025-12-19,6219851553884,Class 7,N,130.2,No-Show Fee,Doc Type A,A,2025-12-12,VQR,UMK,FN-119,TYPE-C,DOC,20.73,3.72,Equip-2
CCY-3,2025-12-19,2766113176158,Class 7,N,101.15,No-Show Fee,Doc Type A,A,2025-12-24,DRW,KLC,FN-101,TYPE-C,DOC,8.23,2.89,Equip-3
CCY-1,2025-12-30,8728401067645,Class 5,Y,149.1,No-Show Fee,Doc Type A,A,2025-12-12,GNP,LNR,FN-133,TYPE-A,DOC,9.28,4.26,Equip-1
CCY-1,2025-12-17,7328565809053,Class 9,Y,77.7,No-Show Fee,Doc Type A,A,2025-12-12,SZV,FUG,FN-119,TYPE-C,DOC,13.31,2.22,Equip-2
CCY-2,2025-12-05,4030703088542,Class 4,N,144.2,No-Show Fee,Doc Type A,A,2025-12-25,NAB,KEE,FN-395,TYPE-B,DOC,9.65,4.12,Equip-2
CCY-4,2025-12-25,3895608973654,Class 8,N,158.55,No-Show Fee,Doc Type A,A,2025-12-09,TPX,KUV,FN-133,TYPE-A,DOC,20.0,4.53,Equip-1
CCY-1,2025-12-18,4399016358751,Class 5,N,96.25,No-Show Fee,Doc Type A,A,2025-12-01,HGV,KSN,FN-101,TYPE-B,DOC,15.79,2.75,Equip-2
CCY-1,2025-12-20,5840344991954,Class 1,Y,115.5,No-Show Fee,Doc Type A,A,2025-12-30,DRW,KEE,FN-394,TYPE-D,DOC,4.21,3.3,Equip-2
CCY-1,2025-12-07,5449253058135,Class 6,Y,109.9,No-Show Fee,Doc Type A,A,2025-12-30,RZP,PVS,FN-117,TYPE-D,DOC,11.99,3.14,Equip-3
CCY-1,2025-12-18,9387559868066,Class 7,N,58.45,No-Show Fee,Doc Type A,A,2025-12-07,UMK,KEE,FN-101,TYPE-D,DOC,12.27,1.67,Equip-2
CCY-4,2025-12-11,0278736218481,Class 8,N,127.05,No-Show Fee,Doc Type A,A,2025-12-29,DRW,GNP,FN-118,TYPE-C,DOC,14.79,3.63,Equip-2
CCY-3,2025-12-29,8911661734742,Class 3,Y,138.25,No-Show Fee,Doc Type A,A,2025-12-19,DPQ,GNP,FN-508,TYPE-A,DOC,15.41,3.95,Equip-2
CCY-3,2025-12-28,0970710202349,Class 3,N,90.65,No-Show Fee,Doc Type A,A,2025-12-02,DRW,YML,FN-508,TYPE-D,DOC,15.02,2.59,Equip-1
