carrier_code,service_date,area_type,flight_no,flight_detail,route_detail,route_code,doc_number,special_type,route_ref,booking_class,trans_code,tour_code,agent_code,payment_method,issue_date,revenue_category,currency,fare_flag,base_fare_local,surcharge,surcharge_local,tax,tax_local,commission,commission_local,total_fare,total_fare_local,remark,origin_station,total_local_curr,mileage,booking_ref,fare_basis_code,base_fare_usd,surcharge_usd,tax_usd,commission_usd,total_fare_usd
XA,2025-12-22,DOM,FN-395,XAFN-105,KEEPVS,KEE-PVS,9600133890838,,KEE-PVS,Class 5,TYPE-B,,Agent B2,Payment C,2025-11-18,Category A,CCY-2,Y,189.74,25.52,27.93,12.1,13.24,1.94,2.12,209.02,228.79,,KEE,228.79,3662,MF8MDD,Basis-002,5.42,0.8,0.38,0.06,6.54
XA,2025-12-18,INT,FN-118,XAFN-508,KLCZYR,KLC-ZYR,5931034131647,Category D,KLC-ZYR,Class 8,TYPE-B,,Agent B1,Payment B,2025-11-14,Category C,CCY-1,Y,271.84,27.84,26.49,9.28,8.83,13.91,13.23,308.94,293.93,,KLC,293.93,1601,TIQJ7Y,Basis-001/BG,7.77,0.76,0.25,0.38,8.4
XA,2025-12-13,INT,FN-118,XAFN-105,UBRDPQ,UBR-DPQ,3953767242388,Category D,UBR-DPQ,Class 1,TYPE-D,,Agent C1,Payment B,2025-11-24,Category B,CCY-2,Y,276.34,37.0,41.51,6.82,7.65,10.12,11.35,279.99,314.15,,UBR,314.15,4374,R14FFY,Basis-003,7.9,1.19,0.22,0.32,8.98
XA,2025-12-01,DOM,FN-105,XAFN-395,DRWUBR,DRW-UBR,4514627048281,Category D,DRW-UBR,Class 8,TYPE-B,,Agent A2,Payment B,2025-12-19,Category B,CCY-3,Y,193.4,20.14,23.05,6.7,7.67,8.21,9.39,187.65,214.73,,DRW,214.73,2855,REN93I,Basis-001/BG,5.53,0.66,0.22,0.27,6.14
XA,2025-12-05,DOM,FN-117,XAFN-394,FUGPVS,FUG-PVS,8248963834657,,FUG-PVS,Class 8,TYPE-A,,Agent A2,Payment A,2025-11-05,Category C,CCY-1,Y,169.36,1.28,1.3,1.36,1.38,8.17,8.28,161.65,163.76,,FUG,163.76,4737,IHCWI6,Basis-002,4.84,0.04,0.04,0.24,4.68
XA,2025-12-30,DOM,FN-508,XAFN-508,UMKYML,UMK-YML,7376311656670,,UMK-YML,Class 5,TYPE-A,,Agent B2,Payment C,2025-11-22,Category A,CCY-4,Y,105.02,17.36,14.81,13.57,11.57,1.31,1.12,152.75,130.28,,UMK,130.28,1769,GQPKI7,Basis-002/BG,3.0,0.42,0.33,0.03,3.72
XA,2025-12-28,DOM,FN-119,XAFN-117,KEENAB,KEE-NAB,6773602606474,,KEE-NAB,Class 9,TYPE-D,,Agent A2,Payment A,2025-11-19,Category B,CCY-1,Y,77.36,7.53,8.82,14.81,17.33,3.2,3.75,85.23,99.76,,KEE,99.76,4944,0CLBR7,Basis-003,2.21,0.25,0.5,0.11,2.85
XA,2025-12-28,DOM,FN-119,XAFN-133,KEEUMK,KEE-UMK,1939909169985,Category D,KEE-UMK,Class 2,TYPE-B,,Agent C2,Payment C,2025-11-21,Category B,CCY-2,N,131.94,37.49,31.01,3.48,2.88,0.54,0.45,199.93,165.38,,KEE,165.38,3442,EXQ77A,Basis-003,3.77,0.89,0.08,0.01,4.73
XA,2025-12-03,DOM,FN-119,XAFN-132,FUGUMK,FUG-UMK,4278498084124,,FUG-UMK,Class 4,TYPE-A,,Agent C2,Payment C,2025-11-10,Category C,CCY-3,N,106.45,33.7,31.66,4.52,4.25,0.76,0.71,150.76,141.65,,FUG,141.65,1925,ZHWJR6,Basis-001,3.04,0.9,0.12,0.02,4.05
XA,2025-12-21,DOM,FN-118,XAFN-117,NABDRW,NAB-DRW,7868011280598,Category C,NAB-DRW,Class 5,TYPE-D,,Agent A2,Payment A,2025-11-20,Category C,CCY-1,Y,180.06,18.94,20.99,7.7,8.54,0.03,0.03,189.06,209.56,,NAB,209.56,3131,HID25O,Basis-003,5.14,0.6,0.24,0.0,5.99
XA,2025-12-11,DOM,FN-133,XAFN-119,YMLKSN,YML-KSN,4216073375433,,YML-KSN,Class 3,TYPE-B,,Agent B2,Payment B,2025-11-18,Category A,CCY-4,N,101.86,52.79,57.78,9.07,9.93,0.12,0.13,154.79,169.44,,YML,169.44,3076,XO9T7E,Basis-002,2.91,1.65,0.28,0.0,4.84
XA,2025-12-26,DOM,FN-132,XAFN-133,TDXQFX,TDX-QFX,9816934060883,Category D,TDX-QFX,Class 1,TYPE-D,,Agent A1,Payment C,2025-12-29,Category C,CCY-1,N,65.38,45.13,42.34,4.16,3.9,2.08,1.95,116.88,109.67,,TDX,109.67,1220,ZKLOOK,Basis-001/BG,1.87,1.21,0.11,0.06,3.13
XA,2025-12-18,DOM,FN-101,XAFN-118,DRWNAB,DRW-NAB,4369957773872,,DRW-NAB,Class 7,TYPE-C,,Agent C1,Payment C,2025-12-11,Category C,CCY-2,Y,166.71,0.65,0.6,3.65,3.36,5.57,5.13,179.86,165.54,,DRW,165.54,2124,YIHAIR,Basis-001,4.76,0.02,0.1,0.15,4.73
XA,2025-12-21,INT,FN-101,XAFN-105,DRWKUV,DRW-KUV,6328708317278,Category D,DRW-KUV,Class 4,TYPE-D,,Agent C1,Payment C,2025-12-28,Category D,CCY-4,N,165.75,45.77,41.08,12.1,10.86,4.57,4.1,237.96,213.59,,DRW,213.59,1503,0RJIW1,Basis-003,4.74,1.17,0.31,0.12,6.1
XA,2025-12-09,INT,FN-132,XAFN-132,NABVQR,NAB-VQR,8122362316658,,NAB-VQR,Class 5,TYPE-D,,Agent A1,Payment A,2025-12-24,Category D,CCY-4,N,140.75,27.87,25.48,2.85,2.61,0.6,0.55,184.07,168.29,,NAB,168.29,4984,8A5UR7,Basis-002,4.02,0.73,0.07,0.02,4.81
XA,2025-12-16,INT,FN-101,XAFN-133,UBRSZV,UBR-SZV,5627298069901,,UBR-SZV,Class 7,TYPE-B,,Agent B2,Payment A,2025-11-04,Category C,CCY-2,N,92.41,25.4,23.09,16.82,15.29,2.49,2.26,141.37,128.53,,UBR,128.53,2881,HL1N13,Basis-002,2.64,0.66,0.44,0.06,3.67
XA,2025-12-21,DOM,FN-105,XAFN-101,JYNKEE,JYN-KEE,0330923271937,Category D,JYN-KEE,Class 9,TYPE-C,,Agent A2,Payment C,2025-12-09,Category A,CCY-1,Y,177.49,3.78,3.55,12.36,11.62,9.44,8.87,195.52,183.79,,JYN,183.79,2748,DALY8O,Basis-001/BG,5.07,0.1,0.33,0.25,5.25
